,Year of manufacture,Make,Model,Transmission type,Km driven,Fuel type,Price (in Rs)
117,2017,Maruti,Celerio ZXI,Manual,27882,Petrol,411000
118,2020,Maruti,S Cross ALPHA AT SMART HYBRID,Automatic,29624,Petrol,1026000
119,2019,Maruti,S Cross ZETA 1.3,Manual,50117,Diesel,833000
120,2018,Maruti,Baleno ZETA PETROL 1.2,Manual,54530,Petrol,518000
121,2021,Maruti,S PRESSO VXI+,Manual,12655,Petrol,405000
122,2018,Maruti,Ciaz ZETA 1.4  AT PETROL,Automatic,53796,Petrol,636000
123,2020,Maruti,New Wagon-R LXI CNG 1.0,Manual,12950,CNG,526000
124,2021,Maruti,New Wagon-R LXI CNG (O) 1.0,Manual,39613,CNG,586000
125,2015,Maruti,Wagon R 1.0 VXI,Manual,30942,Petrol,314000
126,2013,Maruti,Wagon R 1.0 LXI CNG,Manual,75349,CNG,295000
127,2015,Maruti,Wagon R 1.0 VXI,Manual,28048,Petrol,324000
128,2015,Maruti,Wagon R 1.0 VXI,Manual,40716,Petrol,333000
129,2013,Maruti,Wagon R 1.0 VXI,Manual,68427,Petrol,283000
130,2019,Maruti,S PRESSO VXI PLUS AMT,Automatic,21125,Petrol,463999
131,2021,Maruti,New Wagon-R LXI CNG 1.0,Manual,30981,CNG,595000
132,2022,Maruti,New Wagon-R LXI 1.0,Manual,31378,Petrol,576000
133,2013,Maruti,Swift Dzire ZDI,Manual,120050,Diesel,448000
134,2022,Maruti,S PRESSO VXI+,Manual,10815,Petrol,486000
135,2021,Maruti,New Wagon-R VXI (O) 1.2,Manual,19528,Petrol,538000
136,2017,Maruti,Wagon R 1.0 VXI AMT,Automatic,78285,Petrol,382000
137,2022,Maruti,S PRESSO VXI (O) CNG,Manual,31772,CNG,499000
138,2019,Maruti,New Wagon-R VXI 1.2,Manual,37678,Petrol,482000
139,2021,Maruti,New Wagon-R LXI CNG (O) 1.0,Manual,36188,CNG,608000
140,2017,Maruti,IGNIS DELTA 1.2,Manual,30176,Petrol,438000
141,2019,Maruti,S PRESSO VXI+,Manual,4296,Petrol,430999
142,2019,Maruti,IGNIS ALPHA 1.2,Manual,22343,Petrol,529000
143,2018,Maruti,Baleno ALPHA CVT PETROL 1.2,Automatic,33155,Petrol,627000
144,2021,Maruti,New Wagon-R LXI CNG (O) 1.0,Manual,50418,CNG,592000
145,2015,Maruti,Ciaz ZDI+ SHVS,Manual,46320,Diesel,602000
146,2019,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,Automatic,54408,Petrol,695000
147,2021,Maruti,S PRESSO VXI PLUS AMT,Automatic,26592,Petrol,443000
148,2021,Maruti,New Wagon-R LXI CNG 1.0,Manual,13032,CNG,629000
149,2017,Maruti,IGNIS DELTA 1.2,Manual,56219,CNG,430999
150,2014,Maruti,Wagon R 1.0 LXI CNG,Manual,105898,CNG,314000
151,2019,Maruti,S PRESSO VXI+,Manual,8458,Petrol,436000
152,2020,Maruti,S PRESSO VXI PLUS AMT,Automatic,34771,Petrol,441000
153,2021,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,Automatic,16992,Petrol,958000
154,2016,Maruti,Baleno DELTA CVT PETROL 1.2,Automatic,58631,Petrol,505000
155,2016,Maruti,Celerio VXI CNG,Manual,90227,CNG,401000
156,2022,Maruti,New Wagon-R ZXI 1.2,Manual,4466,Petrol,616000
157,2015,Maruti,Ertiga ZDI,Manual,74602,Diesel,708000
158,2019,Maruti,S PRESSO VXI+,Manual,11141,Petrol,413999
159,2020,Maruti,S PRESSO VXI (O) AMT,Automatic,13440,Petrol,478000
160,2016,Maruti,Baleno DELTA PETROL 1.2,Manual,43373,Petrol,492000
161,2017,Maruti,IGNIS ZETA 1.2 AMT DUAL TONE,Automatic,38048,Petrol,490000
162,2021,Maruti,New Wagon-R VXI 1.2,Manual,18693,Petrol,559000
163,2021,Maruti,Ciaz ALPHA  AT 1.5 SHVS PETROL,Automatic,33706,Petrol,976000
164,2022,Maruti,New Wagon-R ZXI 1.2,Manual,20987,Petrol,612000
165,2017,Maruti,Baleno DELTA PETROL 1.2,Manual,62669,Petrol,531000
166,2020,Maruti,Ciaz ALPHA  AT 1.5 SHVS PETROL,Automatic,23697,Petrol,905000
167,2020,Maruti,Ciaz ALPHA  AT 1.5 SHVS PETROL,Automatic,31021,Petrol,892000
168,2016,Maruti,Baleno DELTA PETROL 1.2,Manual,9508,Petrol,528000
169,2020,Maruti,S PRESSO VXI CNG,Manual,37608,CNG,438000
170,2015,Maruti,Celerio VXI CNG,Manual,83704,CNG,420000
171,2015,Maruti,Ciaz ZXI+ RS,Manual,19612,Petrol,515000
172,2018,Maruti,Wagon R 1.0 LXI CNG,Manual,48605,CNG,399000
173,2012,Maruti,Alto 800 LXI,Manual,18489,Petrol,194000
174,2010,Maruti,A Star VXI,Manual,46984,Petrol,149000
175,2015,Maruti,Wagon R 1.0 LXI CNG,Manual,11994,CNG,338000
176,2016,Maruti,Swift Dzire VXI,Manual,34315,Petrol,473000
177,2014,Maruti,Alto 800 LXI,Manual,40797,Petrol,227000
178,2021,Maruti,Dzire VXI,Manual,18343,Petrol,644000
179,2019,Maruti,New Wagon-R LXI CNG 1.0,Manual,34544,CNG,496000
180,2022,Maruti,New Wagon-R LXI CNG 1.0,Manual,33292,CNG,639000
181,2015,Maruti,Wagon R 1.0 LXI CNG,Manual,81560,CNG,347000
182,2017,Maruti,Ertiga ZDI + SHVS,Manual,44741,Diesel,886999
183,2015,Maruti,Celerio VXI AMT,Automatic,73092,Petrol,327000
184,2021,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,Automatic,29291,Petrol,884000
185,2020,Maruti,S PRESSO VXI CNG,Manual,26321,CNG,449000
186,2022,Maruti,Eeco 5 STR AC CNG,Manual,11048,CNG,617000
187,2014,Maruti,Swift ZDI,Manual,95142,Diesel,466000
188,2017,Maruti,Swift ZXI,Manual,29424,Petrol,499000
189,2016,Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,36054,Petrol,513000
190,2014,Maruti,Celerio VXI AMT,Automatic,91771,Petrol,329000
191,2015,Maruti,Celerio VXI,Manual,51071,Petrol,300000
192,2017,Maruti,Dzire ZDI AMT,Automatic,69399,Diesel,600000
193,2015,Maruti,Ertiga VXI CNG,Manual,52143,CNG,589000
194,2017,Maruti,Baleno DELTA PETROL 1.2,Manual,57626,Petrol,476999
195,2016,Maruti,Ertiga VXI CNG,Manual,63006,CNG,679000
196,2017,Maruti,Baleno SIGMA PETROL 1.2,Manual,76316,Petrol,429000
197,2017,Maruti,Baleno DELTA CVT PETROL 1.2,Automatic,24192,Petrol,532000
198,2012,Maruti,Swift VXI,Manual,52117,Petrol,303000
199,2018,Maruti,Celerio VXI CNG,Manual,71263,CNG,409999
200,2018,Maruti,Ertiga ZDI SHVS,Manual,47225,Diesel,822000
201,2014,Maruti,Ertiga VXI,Manual,65000,Petrol,535000
202,2021,Maruti,Celerio ZXI (O),Manual,23012,Petrol,501999
203,2023,Maruti,New Wagon-R LXI 1.0,Manual,1958,Petrol,589000
204,2020,Maruti,New Wagon-R ZXI 1.2 AMT,Automatic,24495,Petrol,549000
205,2014,Maruti,Wagon R 1.0 LXI CNG,Manual,94053,CNG,301000
